,title,theme,key_words,url
521,MLS/Aura Level 3 Daily Binned Cloud Ice (IWC) on Zonal and Similar Grids V004 (ML3DZIWC) at GES DISC,"aura,geospatial","earth science,atmosphere,clouds",https://doi.org/10.5067/Aura/MLS/DATA/3315
522,ROSETTA-ORBITER 67P OSINAC 4 ESC2-MTP017 RDR-STR-REFL V1.0,earth science,"international rosetta mission,67p/churyumov-gerasimenko 1 (1969 r1)",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=RO-C-OSINAC-4-ESC2-67P-M17-STR-REFL-V1.0
523,Altitude Compensating Nozzles,,"completed,armstrong flight research center",https://techport.nasa.gov/view/10839
524,JPSS1 Visible Infrared Imager-Radiometer Suite (VIIRS)  Inherent Optical Properties (IOP) - NRT,geospatial,"oceans,ocean optics,national geospatial data asset,ngda,earth science",https://data.nasa.gov/d/2d3h-jiqw
525,TRMM Ground Validation Calibrated QC Radar Reflectivity Full Volume Scan L1C 1 hour V7 (TRMM_1C51) at GES DISC,"trmm,geospatial","earth science,atmosphere,precipitation,spectral/engineering,radar",https://cmr.earthdata.nasa.gov:443/search/concepts/C1332654210-GES_DISC.html
526,MODIS/Terra Near Real Time (NRT) Vegetation Indices Daily Rolling-8-Day L3 Global 500m SIN Grid,"cwic,eosdis,esip,geospatial","earth science,biosphere,vegetation,land surface,surface radiative properties,ngda,national geospatial data asset",https://doi.org/10.5067/MODIS/MOD13A4N.NRT.006
527,"Compact 2 Micron Seed Laser, Phase I",,"completed,langley research center",https://techport.nasa.gov/view/5170
528,"Bodies in Space - Online Education for Secondary School Students, Phase I",,"marshall space flight center,completed",https://techport.nasa.gov/view/5432
529,"CALIPSO Lidar Level 3 Cloud Occurrence Data, Standard V1-00","calipso,geospatial","earth science,atmosphere,clouds,ngda,national geospatial data asset",https://doi.org/10.5067/CALIOP/CALIPSO/L3_Cloud_Occurrence-Standard-V1-00
530,"Lightweight Inflatable Structural Airlock (LISA), Phase I",,"completed,langley research center",https://techport.nasa.gov/view/34150
531,"Performance Enhancement of Deicing Systems with the Use of an Anti-ice Nano-coating, Phase I",,"completed,glenn research center",https://techport.nasa.gov/view/89861
532,ASTEROID OCCULTATIONS V8.0,earth science,"support archives,asteroid,satellite",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=EAR-A-3-RDR-OCCULTATIONS-V8.0
533,"MERRA-2 tavg1_2d_adg_Nx: 2d,1-Hourly,Time-averaged,Single-Level,Assimilation,Aerosol Diagnostics (extended) 0.625 x 0.5 degree V5.12.4 (M2T1NXADG) at GES DISC","merra-2,geospatial","earth science,atmosphere,aerosols,atmospheric chemistry",https://doi.org/10.5067/HM00OHQBHKTP
534,"LBA-ECO CD-10 CO Concentrations at km 67 Tower Site, Tapajos National Forest","lba-eco,geospatial","earth science,atmosphere,air quality",https://doi.org/10.3334/ORNLDAAC/856
535,"Methane Concentration and Chronology from the WAIS Divide Ice Core (WDC05A), Version 1",geospatial,"earth science,paleoclimate,ice core records",https://doi.org/doi:10.7265/N5319SV3
536,HRIR/Nimbus-2 Level 1 Meteorological Radiation Data V001 (HRIRN2L1) at GES DISC,"nimbus,geospatial","earth science,spectral/engineering,infrared wavelengths",https://cmr.earthdata.nasa.gov:443/search/concepts/C1273652154-GES_DISC.html
537,"CryoSat-2 Sea Ice Freeboard, Thickness, and Snow Depth Quick Look, Version 1",geospatial,,https://doi.org/10.5067/TD9TQQC6IZ24
538,MRO RADIO SCIENCE DERIVED GRAVITY SCIENCE DATA PRODUCTS V1.0,earth science,"mars,mars reconnaissance orbiter",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=MRO-M-RSS-5-SDP-V1.0
539,"DAWN GRAND MAP VESTA NEUTRON            
                                     ABSORPTION V1.0",earth science,"dawn mission to vesta and ceres,4 vesta",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=DAWN-A-GRAND-5-VESTA-ABSORPTION-V1.0
540,Aquarius Official Release Level 3 Rain-flagged Sea Surface Salinity Standard Mapped Image Daily Data V5.0,"aquarius sac-d,geospatial","earth science,oceans,salinity/density",https://doi.org/10.5067/AQR50-3Y1CE
541,"Compact UV Laser, Phase I",,"goddard space flight center,active",https://techport.nasa.gov/view/93422
542,ROSETTA-ORBITER PRELANDING OSIWAC 2 EDR MTP006 V2.0,earth science,"international rosetta mission,bias,16 cyg b,dark,67p/churyumov-gerasimenko 1 (1969 r1)",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=RO-C-OSIWAC-2-PRL-67PCHURYUMOV-M06-V2.0
543,"Flexible and Safe Control of Mobile Surface Systems, Phase I",,"jet propulsion laboratory,completed",https://techport.nasa.gov/view/5616
544,Cloud Radar System (CRS) IMPACTS V1,"impacts,geospatial","earth science,atmosphere,clouds,spectral/engineering,radar,precipitation",https://doi.org/10.5067/IMPACTS/CRS/DATA101
545,SMAP_L1B_SIGMA_NAUGHT_LOW_RES_V002,geospatial,"earth science,spectral/engineering,platform characteristics,radar,earth observation satellites,nasa decadal survey,smap,earth remote sensing instruments,active remote sensing,imaging radars",https://cmr.earthdata.nasa.gov:443/search/concepts/C1243253631-ASF.html
546,MISR Level 1B2 Local Mode Ellipsoid Radiance Data subset for the UAE region V002,"uae_2004,geospatial","earth science,spectral/engineering,visible wavelengths",https://cmr.earthdata.nasa.gov:443/search/concepts/C1627523796-LARC.html
547,"Active Battery Management System with Physics Based life modeling topology, Phase I",,"active,armstrong flight research center",https://techport.nasa.gov/view/93328
548,MODIS/Aqua Cloud Mask and Spectral Test Results 5-Min L2 Swath 250m and 1km,"aqua,geospatial","earth science,atmosphere,clouds,ngda,national geospatial data asset",https://doi.org/10.5067/MODIS/MYD35_L2.061
549,MODIS/Terra+Aqua BRDF/Albedo Parameter2 Band2 Daily L3 Global 30ArcSec CMG V006,"terra,aqua,geospatial","earth science,land surface,surface radiative properties,ngda,national geospatial data asset",https://doi.org/10.5067/MODIS/MCD43D05.006
550,OLS DIGITAL DERIVED LIGHTNING FROM DMSP F12 V1,"lis,geospatial","earth science,atmosphere,atmospheric electricity,weather events",https://cmr.earthdata.nasa.gov:443/search/concepts/C1625128877-GHRC_CLOUD.html
551,LB02,geospatial,"earth science,oceans,ocean chemistry,ocean optics,ocean temperature,salinity/density",https://doi.org/10.5067/SeaBASS/LB02/DATA001
552,"Novel, Nanotechnology Based CMC composites for Hot Structures, Phase I",,"completed,armstrong flight research center",https://techport.nasa.gov/view/17950
553,"Miniature Sample Collection and Delivery System using Gas-Entrained Powder Transport, Phase I",,"completed,jet propulsion laboratory",https://techport.nasa.gov/view/7274
554,"MSL MARS DESCENT IMAGER 2 EDR
                                      IMAGE V1.0",earth science,"mars science laboratory,mars",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=MSL-M-MARDI-2-EDR-IMG-V1.0
555,Global Flood Proportional Economic Loss Risk Deciles,"ndh,geospatial","earth science,human dimensions,natural hazards,socioeconomics",https://doi.org/10.7927/H4XS5S9Q
556,"LBA-ECO CD-04 Leaf Area Index, km 83 Tower Site, Tapajos National Forest, Brazil","lba-eco,geospatial","earth science,biosphere,vegetation",https://doi.org/10.3334/ORNLDAAC/992
557,DEEP IMPACT 9P/TEMPEL ENCOUNTER - REDUCED MRI IMAGES V1.0,earth science,"deep impact,9p/tempel 1 (1867 g1)",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=DIF-C-MRI-3%2F4-9P-ENCOUNTER-V1.0
558,JPL TELLUS GRACE Level-3 Monthly Ocean Bottom Pressure Anomaly Release 6.0 version 04 in netCDF/ASCII/GeoTIFF Formats,"grace,geospatial","earth science,oceans,ocean pressure,solid earth,gravity/gravitational field",https://doi.org/10.5067/TEOCN-3AJ64
559,"GALILEO JUPITER PLASMA RESAMPLED
                                       BROWSE SPECTRA V1.0",earth science,"galileo,io plasma torus,ganymede,io,callisto,amalthea,europa,jupiter",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=GO-J-PLS-4-SUMM-BROWSE-V1.0
560,MODIS/Terra+Aqua BRDF/Albedo QA ValidobsBand6 Daily L3 Global 30ArcSec CMG V006,"terra,aqua,geospatial","earth science,land surface,surface radiative properties,ngda,national geospatial data asset",https://doi.org/10.5067/MODIS/MCD43D38.006
561,ASTER Global Water Bodies Database V001,"terra,geospatial","earth science,land surface,topography,ngda,national geospatial data asset",https://doi.org/10.5067/ASTER/ASTWBD.001
562,"High Efficiency Direct Methane Solid Oxide Fuel Cell System, Phase II",,"completed,glenn research center",https://techport.nasa.gov/view/33621
563,"ROSETTA-ORBITER 67P RSI 1/2/3
                                     COMET ESCORT 4 1154 V1.0",earth science,"international rosetta mission,67p/churyumov-gerasimenko 1 (1969 r1)",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=RO-C-RSI-1%2F2%2F3-ESC4-1154-V1.0
564,"Compact High Efficiency GaN-based PPU, Phase I",,"glenn research center,active",https://techport.nasa.gov/view/94531
565,EIGHT COLOR ASTEROID SURVEY V3.0,earth science,"142 polana,1434 margot,1439 vogtia,571 dulcinea,570 kythera,56 melete,566 stereoskopia,563 suleika,70 panopaea,1105 fragaria,1442 corvina,712 boliviana,713 luscinia,714 ulula,71 niobe,721 tabora,725 amanda,733 mocia,739 mandeville,740 cantabia,746 marlu,748 simeisa,750 oskar,751 faina,755 quintilla,757 portlandia,75 eurydike,1445 konkolya,1103 sequoia,144 vibilia,1453 fennia,145 adeona,10 hygiea,562 salome,1461 jean-jacques,1467 mashona,146 lucina,147 protogeneia,148 gallia,1493 sigrid,14 irene,786 bredichina,1180 rita,1185 nikko,118 peitho,119 althaea,11 parthenope,584 semiramis,588 achilles,1208 troilus,58 concordia,593 titania,599 luisa,59 elpis,5 astraea,602 marianna,606 brangane,60 echo,613 ginevra,616 elly,617 patroclus,618 elfriede,61 danae,622 esther,624 hektor,626 notburga,120 lachesis,1212 francette,583 klotilde,62 erato,631 philippina,635 vundtia,639 latona,63 ausonia,1215 boyer,121 hermione,582 olympia,57 mnemosyne,640 brambilla,643 scheherezade,648 pippa,64 angelina,650 amalasuntha,651 antikleia,117 lomia,1236 thais,1245 calvinia,1249 rutherfordia,1177 gonnessia,653 berenike,654 zelinda,659 nestor,65 cybele,124 alkeste,660 crescentia,1173 anchises,661 cloelia,663 gerlinde,664 judith,66 maja,675 ludmilla,67 asia,686 gersuind,687 tinette,68 leto,692 hippodamia,1172 aneas,695 bella,699 hela,69 hesperia,6 hebe,702 alauda,704 interamnia,705 erminia,1171 rusthawelia,579 sidonia,1170 siva,116 sirona,1167 dubiago,1162 larissa,115 thyra,1154 astronomia,114 kassandra,1251 hedera,1148 rarahu,1146 biarmia,1144 oda,1143 odysseus,113 amalthea,1139 atami,1133 lugduna,1256 normannia,125 liberatrix,1266 tone,1268 libya,1269 rollandia,1275 cimbria,1277 dolores,1280 baillauda,1284 latvia,128 nemesis,12 victoria,1124 stroobantia,1307 cimmeria,130 elektra,1310 villigera,131 vala,111 ate,110 lydia,132 aethra,1336 zeelandia,1342 brabantia,1345 potomac,1108 demeter,134 sophrosyne,1350 rosselia,1355 magoeba,135 hertha,137 meliboea,1390 abastumani,1391 carelia,13 egeria,1418 fayeta,1422 stromgrenia,1508 kemi,109 felicitas,108 hecuba,1088 mitaka,761 brendelia,762 pulcova,768 struveana,76 freia,771 libera,772 tanete,773 irmintraud,775 lumiere,776 berbericia,55 pandora,559 nanon,778 theobalda,77 frigga,558 carmen,556 phyllis,1087 arabis,1509 esclangona,1080 orchis,785 zwetana,78 diana,107 camilla,1512 oulu,790 pretoria,791 ani,798 ruth,79 eurynome,7 iris,801 helwerthia,804 hispania,805 hormuthia,80 sappho,811 nauheima,81 terpsichore,821 fanny,82 alkmene,838 seraphina,83 beatrix,849 ara,1529 oterma,152 atala,153 hilda,1556 wingolfia,851 zeissia,85 io,860 ursina,1078 mentha,1076 viola,863 benkoela,864 aase,86 semele,1564 srbija,156 xanthippe,873 mechthild,877 walkure,87 sylvia,554 peraga,551 ortrud,54 alexandra,880 herba,884 priamus,887 alinda,88 thisbe,897 lysistrata,89 julia,8 flora,901 brunsia,1576 fabiola,1578 kirkwood,907 rhoda,909 ulla,90 antiope,914 palisana,925 alphonsina,92 undina,931 whittemora,937 bethgea,93 minerva,1579 herrick,945 barcelona,946 poesia,94 aurora,958 asplinda,95 arethusa,549 jessonda,548 kressida,540 rosamunde,962 aslog,969 leocadia,974 lioba,97 klotho,980 anacostia,98 ianthe,996 hilaritas,1581 abanderada,1583 antilochus,1584 fuji,99 dike,9 metis,asteroid,asteroid 3757,106 dione,1061 paeonia,158 koronis,159 aemilia,asteroid 4688,ceres,eros,15 eunomia,gaspra,ida,support archives,1601 patry,536 merapi,1604 tombaugh,532 herculina,530 turandot,52 europa,105 artemis,529 preziosa,526 jena,104 klymene,522 helga,521 brixia,51 nemausa,519 sylvania,515 athalia,1606 jekhovsky,514 armida,512 taurinensis,1615 bardwell,1619 ueta,161 athor,1620 geographos,1047 geisha,511 davida,50 virginia,103 hera,1038 tuckia,1036 ganymed,102 miriam,1028 lydina,509 iolanda,1625 the norc,508 princetonia,506 marion,505 cava,1627 ivar,4 vesta,49 pales,499 venusia,498 tokio,497 iva,496 gryphia,48 doris,488 kreusa,483 seppina,480 hansa,47 aglaja,478 tergeste,477 italia,476 hedwig,475 ocllo,1025 riema,1021 flammario,101 helena,1019 strackea,1012 sarema,1001 gaussia,1644 rafita,1650 heckmann,1655 comas sola,1657 roemera,1665 gaby,167 urda,168 sibylla,1691 oort,1693 hertzsprung,169 zelia,472 roma,16 psyche,471 papagena,470 kilia,46 hestia,469 argentina,466 tisiphone,1700 zvezdara,170 maria,1711 sandrine,171 ophelia,462 eriphyla,45 eugenia,1724 vladimir,459 signe,451 patientia,44 nysa,173 ino,1740 paavo nurmi,1746 brouwer,1748 mauderli,1754 cunningham,1768 appenzella,1794 finsen,1796 riga,179 klytaemnestra,449 hamburga,17 thetis,446 aeternitas,1815 beethoven,181 eucharis,1842 hynek,184 dejopeja,185 eunike,1862 apollo,1863 antinous,1865 cerberus,444 gyptis,1867 deiphobus,443 photographica,186 celuta,442 eichsfeldia,43 ariadne,187 lamberta,188 menippe,189 phthia,18 melpomene,1902 shaposhnikov,190 ismene,1911 schubart,1915 quetzalcoatl,1919 clemence,1920 sarmiento,192 nausikaa,1943 anteros,194 prokne,195 eurykleia,1963 bezovec,196 philomela,198 ampella,1990 pilcher,19 fortuna,434 hungaria,431 nephele,2001 einstein,200 dynamene,2010 chebyshev,201 penelope,2035 stearns,2048 dwornik,204 kallisto,2050 francis,2052 tamriko,42 isis,429 lotis,423 diotima,421 zahringia,420 bertholda,41 daphne,419 aurelia,418 alemannia,417 suevia,2060 chiron,416 vaticana,414 liriope,410 chloris,40 harmonia,2067 aksnes,206 hersilia,407 arachne,406 erna,405 thia,2081 sazava,2083 smither,208 lacrimosa,2090 mizuho,209 dido,20 massalia,2100 ra-shalom,210 isabella,2111 tselina,211 isolda,2131 mayall,2139 makharadze,213 lilaea,214 aschera,404 arsinoe,402 chloe,4015 wilson-harrington,3 juno,39 laetitia,394 arduina,38 leda,389 industria,388 charybdis,387 aquitania,386 siegena,383 janina,382 dodona,2156 kate,216 kleopatra,381 myrrha,380 fiducia,37 fides,379 huenna,376 geometria,374 burgundia,373 melusina,2196 ellicott,219 thusnelda,21 lutetia,2207 antenor,369 aeria,2208 pushkin,221 eos,368 haidea,2223 sarpedon,222 lucia,365 corduba,223 rosa,2241 alcathous,2246 bowell,225 henrietta,2260 neoptolemus,364 isara,361 bononia,2266 tchaikovsky,2272 montezuma,2278 gotz,2279 barto,228 agathe,229 adelinda,22 kalliope,360 carlova,35 leukothea,359 georgia,354 eleonora,352 gisela,350 ornamenta,34 circe,349 dembowska,347 pariana,230 athamantis,346 hermentaria,2311 el leoncito,345 tercidina,344 desiderata,2312 duboshin,232 russia,233 asterope,2345 fucik,33 polyhymnia,339 dorothea,234 barbara,338 budrosa,2357 phereclos,337 devosa,336 lacadiera,335 roberta,2363 cebriones,236 honoria,2375 radek,334 chicago,32 pomona,329 svea,3288 seleucus,2379 heiskanen,238 hypatia,23 thalia,2405 welch,326 tamara,323 brucia,2407 haug,322 phaeo,240 vanadis,2411 zellner,241 germania,2449 kenos,245 vera,246 asporina,2491 tvashtri,24 themis,2501 lohja,3199 nefertiti,317 roxane,3169 ostro,250 bettina,313 chaldaea,3124 kansas,3123 dunham,3102 krok,30 urania,308 polyxo,2510 shandong,306 unitas,304 olga,302 clarissa,2 pallas,29 amphitrite,296 phaetusa,2577 litva,258 tyche,28 bellona,25 phocaea,289 nenetta,261 prymno,264 libussa,266 aline,2674 pandarus,268 adorea,26 proserpina,2735 ellen,2744 birgitta,275 sapientia,2760 kacha,276 adelheid,277 elvira,279 thule,27 euterpe,2809 vernadskij,282 clorinde,2830 greenwich,287 nephthys,288 glauke,2893 peiroos",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=EAR-A-2CP-3-RDR-ECAS-V3.0
566,ISCCP_D1,"isccp,geospatial","national geospatial data asset,ngda",https://cmr.earthdata.nasa.gov:443/search/concepts/C8499868-LARC_ASDC.html
567,"ROSETTA-ORBITER 67P RPCLAP 3
ESC2 CALIB2 V1.0",earth science,"international rosetta mission,67p/churyumov-gerasimenko 1 (1969 r1)",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=RO-C-RPCLAP-3-ESC2-CALIB2-V1.0
568,CALIPSO Lidar L2 Polar Stratospheric Cloud Data V1-00,earth science,"aerosol,climate,eos,radiation,atmospheric science,cloud,satellite",https://data.nasa.gov/d/2e2r-uvaz
569,Spacecraft Fire Safety Demonstration,,"glenn research center,active",https://techport.nasa.gov/view/13543
570,"OCO-3 Level 2 CO2 prior based on CO2 monthly flask record, global meteorology, and age of air, Forward Processing V10 (OCO3_L2_CO2Prior) at GES DISC","oco-3,geospatial","earth science,atmosphere,atmospheric chemistry",https://cmr.earthdata.nasa.gov:443/search/concepts/C2082387288-GES_DISC.html
571,FIRE_AX_ER2_MAS,"fire,geospatial",,https://cmr.earthdata.nasa.gov:443/search/concepts/C1000000995-LARC_ASDC.html
572,NEAR XRS SPECTRA FOR CRUISE 3 PHASE,earth science,"near earth asteroid rendezvous,solar system",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=NEAR-A-XRS-2-EDR-CRUISE3-V1.0
573,"Venus Lander Experiment Vessel, Phase I",,"jet propulsion laboratory,completed",https://techport.nasa.gov/view/6084
574,BOREAS RSS-07 Landsat TM LAI Images of the SSA and NSA,"boreas,geospatial","earth science,biosphere,vegetation,land surface,surface radiative properties",https://doi.org/10.3334/ORNLDAAC/441
575,STARDUST DUST COLLECTOR GEOMETRY V1.0,earth science,"stardust,81p/wild 2 (1978 a2),unknown",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=SDU-C-SRC-6-GEOMETRY-V1.0
576,"Retroreflector Array for Test Environments (RATE), Phase I",,"completed,ames research center",https://techport.nasa.gov/view/6326
577,MODIS/Aqua Surface Reflectance 8-Day L3 Global 250m SIN Grid V061,"aqua,geospatial","earth science,land surface,surface radiative properties,ngda,national geospatial data asset",https://doi.org/10.5067/MODIS/MYD09Q1.061
578,HIRDLS/Aura Level 2 Daily Geophysical Parameters V007 (HIRDLS2) at GES DISC,"aura,geospatial","atmosphere,earth science,altitude,clouds,national geospatial data asset,ngda,atmospheric water vapor,atmospheric temperature,aerosols,atmospheric chemistry",https://doi.org/10.5067/Aura/HIRDLS/DATA201
579,"Spacecraft Formation Control with Direct Interferometer-Output Feedback, Phase I",,"completed,goddard space flight center",https://techport.nasa.gov/view/7580
580,ISS_COORDS_2021-06-12,space science,"iss,ephemeris,coords,topo,trajectory,station,coordinates,space,international,location",https://spotthestation.nasa.gov
581,BOREAS TGB-05 Fire History of Manitoba 1980 to 1991 in Raster Format,"boreas,geospatial","earth science,biosphere,ecological dynamics",https://doi.org/10.3334/ORNLDAAC/386
582,Breccia Guidebook #5 67016,space science,"lunar,jsc,apollo,sample,catalog",http://curator.jsc.nasa.gov/lunar/catalogs/
583,"SHEBA Reconnaissance Imagery, Version 1",geospatial,"earth science,spectral/engineering,visible wavelengths,cryosphere,sea ice",https://doi.org/10.7265/N50V89RX
584,"ROSETTA-ORBITER 67P RSI 1/2/3
                                     PRELANDING 0296 V1.0",earth science,"international rosetta mission,67p/churyumov-gerasimenko 1 (1969 r1)",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=RO-C-RSI-1%2F2%2F3-PRL-0296-V1.0
585,GPM GMI (GPROF) Climate-based Radiometer Precipitation Profiling L3 1 month 0.25 degree x 0.25 degree V05 (GPM_3GPROFGPMGMI_CLIM) at GES DISC,"gpm,geospatial","earth science,atmosphere,atmospheric water vapor,precipitation",https://doi.org/10.5067/GPM/GMI/GPROFCLIM/3A-MONTH/05
586,FIREX-AQ DC-8 In-Situ Aerosol Data,"firex-aq,geospatial","earth science,atmosphere,aerosols",https://doi.org/10.5067/ASDC/FIREXAQ_Aerosol_AircraftInSitu_DC8_Data_1
587,NASA B200 Aircraft Navigational Data Collected During the First DISCOVER-AQ Project,"discover-aq,geospatial","air quality,national geospatial data asset,ngda,earth science,atmosphere",https://doi.org/10.5067/ASDC_DAAC/DISCOVER-AQ/0001
588,"Sensitivity-Based Simulation Software for Optimization of Turbine Blade Cooling Strategies, Phase I",,"glenn research center,completed",https://techport.nasa.gov/view/8316
589,Collaborative Testing of Turbulence Models: Other Flow Cases,aerospace,"flow,turbulence,models,incompressible,compressible,cases",http://turbmodels.larc.nasa.gov/bradshaw.html
590,ROSETTA-ORBITER 67P VIRTIS 3 PRELANDING MTP008 V2.0,earth science,"international rosetta mission,67p/churyumov-gerasimenko 1 (1969 r1)",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=RO-C-VIRTIS-3-PRL-MTP008-V2.0
591,MISR Level 3 Component Global Aerosol Product covering a day subset for the UAE region V004,"uae_2004,geospatial","earth science,atmosphere,aerosols,air quality",https://cmr.earthdata.nasa.gov:443/search/concepts/C1627523807-LARC.html
592,"LBA-ECO CD-04 Leaf Litter Data, km 83 Tower Site, Tapajos National Forest, Brazil","lba-eco,geospatial","earth science,biosphere,vegetation",https://doi.org/10.3334/ORNLDAAC/991
593,"Thermopile Area Array Readout, Phase I",,"jet propulsion laboratory,completed",https://techport.nasa.gov/view/16700
594,"Mesoporous Catalysts for Ambient Temperature Aqueous Phase Oxidation, Phase I",,"marshall space flight center,completed",https://techport.nasa.gov/view/7532
595,Solid State Energy Conversion for Deep Space Power,,"active,tufts university",https://techport.nasa.gov/view/91584
596,GPM Ground Validation Lightning Instrument Package (LIP) IPHEx V1,"iphex,geospatial","earth science,atmosphere,atmospheric electricity",https://cmr.earthdata.nasa.gov:443/search/concepts/C1807949551-GHRC_CLOUD.html
597,"Lightweight Passive Vaporizing Heat Sink, Phase II",,"completed,johnson space center",https://techport.nasa.gov/view/6919
598,ROSETTA-ORBITER 67P VIRTIS 2 ESCORT 3 MTP021 V1.0,earth science,"international rosetta mission,vega,67p/churyumov-gerasimenko 1 (1969 r1)",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=RO-C-VIRTIS-2-ESC3-MTP021-V1.0
599,Collaborative Testing of Turbulence Models: Other Flow Cases,aerospace,"turbulence,incompressible,flow,cases,models,compressible",http://turbmodels.larc.nasa.gov/bradshaw.html
600,MODIS/Aqua Sea Ice Extent Daily L3 Global 1km EASE-Grid Day V005,geospatial,"earth science,cryosphere,sea ice,oceans,ngda,national geospatial data asset",https://doi.org/10.5067/HUYRXHTDMIQU
601,ROSETTA-ORBITER SUN RSI 1/2/3 CRUISE 2 0024 V1.0,earth science,"international rosetta mission,sun",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=RO-X-RSI-1%2F2%2F3-CR2-0024-V1.0
602,MARS EXPRESS ASPERA-3 RAW EDR NEUTRAL PARTICLE IMAGER V1.0,earth science,"mars express,mars",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=MEX-M-ASPERA3-2-EDR-NPI-V1.0
603,SMAPVEX12 In Situ Vegetation Data for Agricultural Area V001,"smapvex12,geospatial","earth science,biosphere,vegetation",https://doi.org/10.5067/X2EF9ZKL0DGC
604,"ROSETTA-ORBITER 67P RSI 1/2/3
                                     COMET ESCORT 3 0931 V1.0",earth science,"international rosetta mission,67p/churyumov-gerasimenko 1 (1969 r1)",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=RO-C-RSI-1%2F2%2F3-ESC3-0931-V1.0
605,Reaction Sphere,,"northrop grumman corporation,active",https://techport.nasa.gov/view/91499
606,"A Queuing Model-Based System for Triggering Traffic Flow Management Algorithms, Phase I",,"langley research center,completed",https://techport.nasa.gov/view/9063
607,ROSETTA-ORBITER 67P RPCIES 3 EXT3 V1.0,earth science,"international rosetta mission,67p/churyumov-gerasimenko 1 (1969 r1)",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=RO-C-RPCIES-3-EXT3-V1.0
608,Regolith Derived Heat Shield for a Planetary Body Entry and Descent System with In-Situ Fabrication,,"completed,kennedy space center",https://techport.nasa.gov/view/4349
609,Nimbus-7 Total Solar Irradiance Data in Native Format,"nimbus7,geospatial","ngda,national geospatial data asset,atmospheric radiation,atmosphere,earth science",https://data.nasa.gov/d/2f3g-4zyx
610,"Optical Real-Time Space Radiation Monitor, Phase I",,"completed,ames research center",https://techport.nasa.gov/view/6495
611,"AutoCategorization for Customized Knowledge Portals, Phase I",,"ames research center,completed",https://techport.nasa.gov/view/5340
612,"High-Power Density SOFCs for Aviation Applications, Phase I",,"completed,glenn research center",https://techport.nasa.gov/view/5085
613,AMSR-E/Aqua Daily L3 25 km Brightness Temperature & Sea Ice Concentration Polar Grids V003,geospatial,"earth science,spectral/engineering,infrared wavelengths,cryosphere,sea ice",https://doi.org/10.5067/AMSR-E/AE_SI25.003
614,"MARS EXPRESS MARS MRS 1/2/3
                                     EXTENDED MISSION 3 3294 V1.0",earth science,"mars express,mars",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=MEX-M-MRS-1%2F2%2F3-EXT3-3294-V1.0
615,Aqua Moderate Resolution Imaging Spectroradiometer (MODIS) Particulate Organic Carbon (POC) Global Binned Data,geospatial,"earth science,oceans,ocean chemistry,ngda,national geospatial data asset",https://doi.org/10.5067/AQUA/MODIS/L3B/POC/2018
616,VIIRS/JPSS1 Day/Night Band 6-Min L1B Swath 750 m,"jpss,geospatial","infrared wavelengths,spectral/engineering,earth science,visible wavelengths",https://doi.org/10.5067/VIIRS/VJ102DNB.021
617,SIO-Pier,geospatial,"earth science,oceans,ocean chemistry,ocean optics,ocean temperature,salinity/density",https://doi.org/10.5067/SeaBASS/SIO-PIER/DATA001
618,"Prediction of Unsteady Transonic Aerodynamics, Phase I",,"completed,langley research center",https://techport.nasa.gov/view/8591
619,"Arctic Soil Freeze/Thaw Status from SMMR and SSM/I, Version 2",geospatial,"earth science,terrestrial hydrosphere,snow/ice,cryosphere,land surface,frozen ground",https://cmr.earthdata.nasa.gov:443/search/concepts/C1386246391-NSIDCV0.html
620,"Biomining of regolith simulants for biological in situ resource utilization, Phase I",,"ames research center,completed",https://techport.nasa.gov/view/10451
621,OrbView-2 Sea-Viewing WIde Field-of-view Sensor (SeaWiFS) Garver-Siegel-Maritorena Model (GSM) Global Mapped Data,geospatial,"earth science,oceans,ocean optics,ngda,national geospatial data asset",https://doi.org/10.5067/ORBVIEW-2/SEAWIFS/L3M/GSM/2018
